Fiducial,Line_number,Easting,Northing,Height,Elevation,In_Phase_380.0,In_Phase_1776.0,In_Phase_3345.0,In_Phase_8171.0,In_Phase_41020.0,In_Phase_129550.0,Quadrature_380.0,Quadrature_1776.0,Quadrature_3345.0,Quadrature_8171.0,Quadrature_41020.0,Quadrature_129550.0
22.0,0.0,22.0,0.0,30.0,0.0,82.54889198449551,304.4347119154958,161.47794029671175,657.8298530474033,1159.5565250917873,1905.8970103869297,156.2459429620026,302.93354683560165,131.65529054284065,443.1023164687428,727.2283940179655,1044.8595515830298
23.0,0.0,23.0,0.0,30.0,0.0,83.97730811054295,307.1539111662867,163.16018394843707,665.7377853640966,1167.7469575525322,1904.1877448812809,157.66130885589791,305.6508848667745,132.97675295715493,445.73317667538186,721.9831324410981,1039.1315206076833
24.0,0.0,24.0,0.0,30.0,0.0,85.34344831962422,309.90168950708886,164.89278485289353,673.794653740561,1176.3121498410783,1902.6531883981058,159.0614048389076,308.5388469303571,134.34123466746297,448.4812154647527,716.7555943190254,1033.0386600166219
25.0,0.0,25.0,0.0,30.0,0.0,86.65125541978686,312.6907294893277,166.67329773009484,682.0053041216311,1185.263098176268,1901.3190085207038,160.45328700593572,311.58686639183253,135.74535864570868,451.35477847089754,711.553737395471,1026.5711602614065
26.0,0.0,26.0,0.0,30.0,0.0,87.90461194038637,315.5307849810573,168.49923790264194,690.3751118794139,1194.610986781147,1900.212571310801,161.84327620365877,314.7849794520596,137.18700395425225,454.36096613799907,706.3858995470431,1019.720030532377
27.0,0.0,27.0,0.0,30.0,0.0,89.1073168087438,318.4291460607124,170.36826077104166,698.9095890367696,1204.3671929106497,1899.3629668784624,163.23703208600298,318.12403620369156,138.66508859655437,457.50593953564584,701.2608055275003,1012.4772305651471
28.0,0.0,28.0,0.0,30.0,0.0,90.26306703281556,321.3910594125538,172.27827842491152,707.614160173449,1214.5432917606076,1898.8010261648526,164.63962043817997,321.5958409857371,140.17936736434942,460.7952216246694,696.1875746936286,1004.8358090661512
29.0,0.0,29.0,0.0,30.0,0.0,91.37544362348255,324.42010434248385,174.22752669642907,716.4940595010835,1225.1510619431801,1898.559328081062,166.0555743472764,325.1932348583421,141.73025082183705,464.2339621818809,691.1757295716259,996.7900481061337
30.0,0.0,30.0,0.0,30.0,0.0,92.44790105529117,327.5185253528553,176.21459458198888,725.5543083847504,1236.2024919171147,1898.672195857075,167.48894975932117,328.9101314579294,143.31864857488253,467.82715270916344,686.2352050133111,988.3356126666702
31.0,0.0,31.0,0.0,30.0,0.0,93.48375973841097,330.6875228298576,178.23842633687045,734.7997413223693,1247.7097874213866,1899.175681840499,168.94337592422247,332.74151611346554,144.94583769438339,471.5797893971588,681.3763577806756,979.4697043537968
32.0,0.0,32.0,0.0,30.0,0.0,94.48620090391427,333.9275038663753,180.29830472592064,744.2350567221213,1259.6853799014293,1900.1075397758186,170.42210119188053,336.68341684529923,146.61335552921403,475.4969890493994,676.6099765094598,970.1912181178266
33.0,0.0,33.0,0.0,30.0,0.0,95.45826361973634,337.2382958096261,182.39382238037476,753.8648763540509,1272.1419359926879,1901.5071839805116,171.92803458578163,340.732854695212,148.3229150603643,479.58406617034956,671.947292077421,960.5009006434112
34.0,0.0,34.0,0.0,30.0,0.0,96.40284345356469,340.6193253602368,184.52484658977951,763.6938033721543,1285.092368018343,1903.4156346629782,173.46378354493908,344.88777973645773,150.07634030905425,483.8465803486816,667.3999884384133,950.401508903655
35.0,0.0,35.0,0.0,30.0,0.0,97.32269256524086,344.0697663838685,186.69148148561356,773.7264733884897,1298.5498456630378,1905.8754491680888,175.03168819146737,349.14699808437535,151.8755190152265,488.29036255087817,662.9802139946294,939.8979672118784
36.0,0.0,36.0,0.0,30.0,0.0,98.22042091885697,347.5886596882079,188.89403057803167,783.9675963714261,1312.5278087470842,1908.9306387594427,176.63385244955035,353.51009427673483,153.72236975650318,492.9215276662141,658.7005935806083,928.9975209604877
37.0,0.0,37.0,0.0,30.0,0.0,99.09849845148399,351.1750079911682,191.13296149963463,794.4219890443644,1327.0399813546946,1912.6265711578621,178.2721723121893,357.9773525254246,155.6188208031621,497.746479086721,654.5742411320291,917.7098851145889
38.0,0.0,38.0,0.0,30.0,0.0,99.95925799198672,354.827849414031,193.40887424837797,805.0945988907864,1342.1003872083438,1917.0098590877935,179.94836152492357,362.54967956371496,157.5667982387455,502.7719095657829,650.6147731130588,906.0473854351898
39.0,0.0,39.0,0.0,30.0,0.0,100.80489874512136,358.5463124340768,195.72247346733076,815.9905212329018,1357.7233665266237,1922.1282353617214,181.66397493066833,367.228531130017,159.56822116984375,508.00480124518083,646.8363227784619,894.0250903494615
40.0,0.0,40.0,0.0,30.0,0.0,101.6374902485136,362.3296553067727,198.07454509835821,827.115011120889,1373.9235943494032,1928.0304157127646,183.4204296968742,372.0158435406258,161.62500216643377,513.4524266469464,643.2535553503117,881.660931369929
41.0,0.0,41.0,0.0,30.0,0.0,102.4589767535987,366.17729258458365,200.46593716896078,838.4734916240776,1390.7161004705567,1934.7659503339482,185.21902462526216,376.91397130811777,163.7390513905451,519.1223516057008,639.8816841933549,868.975809996116
42.0,0.0,42.0,0.0,30.0,0.0,103.2711817533178,370.088811100544,202.89754464004068,850.0715598672739,1408.1162910699609,1942.385066100054,187.0609577253473,381.92563135399877,165.91228316923642,525.0224405450737,636.7364880775336,855.9936891156145
43.0,0.0,43.0,0.0,30.0,0.0,104.07581283593849,374.06397756895035,205.37029768057684,861.9149918101913,1426.139972082526,1950.9385012284079,188.9473422157037,387.05385403690696,168.14662403765556,531.1608641361768,633.8343296207184,842.7416670600838
44.0,0.0,44.0,0.0,30.0,0.0,104.8744665551819,378.1027397127888,207.88515314449373,874.0097466223051,1444.803374514647,1960.4773348471479,190.87922110132538,392.30194096291325,170.44402151409489,537.546109169527,631.192175009367,829.2500326666134
45.0,0.0,45.0,0.0,30.0,0.0,105.6686334688473,382.2052224391133,210.44308860767921,886.3619711116474,1464.1231817134674,1971.0528141162297,192.85758046137906,397.67342935322796,172.80645306967577,544.18699037916,628.827615099634,815.5522999458603
46.0,0.0,46.0,0.0,30.0,0.0,106.45970311764727,386.37172050267856,213.04509850769662,898.9780045150285,1484.1165588047375,1982.7161818784218,194.88336156899928,403.1720626077859,175.2359349213395,551.0926639404579,626.7588880064656,801.6852212625629
47.0,0.0,47.0,0.0,30.0,0.0,107.24896909644481,390.6026887097313,215.69219212937205,911.86438393019,1504.8011843154522,1995.518508004964,196.9574719534372,408.8017666118431,177.73453041047432,558.2726423909605,625.0049032935126,787.6887782864096
48.0,0.0,48.0,0.0,30.0,0.0,108.03763400047607,394.8987306707109,218.38539277816304,925.0278502820036,1526.195284267173,2009.5105279753943,199.08079550470651,414.5666312786216,180.30435783405727,565.7368107737984,623.5852678822914,773.6061503644025
49.0,0.0,49.0,0.0,30.0,0.0,108.82681438244389,399.2605867437927,221.12573810118045,938.4753550330955,1548.317668734645,2024.742492140037,201.2542017117853,420.4708967965929,182.94759767433968,573.495443861149,622.5203138049985,759.4836603901423
50.0,0.0,50.0,0.0,30.0,0.0,109.61754555741969,403.68912185975427,223.91428096999883,952.2140674500936,1571.187771150219,2041.2640294188482,203.47855411731695,426.5189440486311,185.6664992307573,581.5592243708344,621.8311279317635,745.3706986893491
51.0,0.0,51.0,0.0,30.0,0.0,110.41078638056875,408.18531356801077,226.75209104563794,966.2513825010186,1594.825690472763,2059.12402908859,205.7547180645148,432.71528868617776,188.4633866976374,589.9392621377528,621.5395838100006,731.3196258912021
52.0,0.0,52.0,0.0,30.0,0.0,111.20742383463568,412.75024070300725,229.64025647997906,980.5949292273806,1619.252236415259,2078.370544299602,208.08356780552137,439.06457836996066,191.34066475692185,598.6471142412926,621.6683757608843,717.3856561976254
53.0,0.0,53.0,0.0,30.0,0.0,112.00827756851135,417.3850728705551,232.5798858820239,995.2525796988725,1644.4889779792397,2099.050720813493,210.46599303473096,445.57159272567105,194.30082376967007,607.6948061200645,622.2410553859819,703.6267228827423
54.0,0.0,54.0,0.0,30.0,0.0,112.81410423468994,422.0910608943715,235.57211038046046,1010.232458388824,1670.5582954471063,2121.2107543352818,212.9029049054647,452.24124560506294,197.34644465626715,617.0948537273838,623.2820706456902,690.1033282380281
55.0,0.0,55.0,0.0,30.0,0.0,113.6256017180174,426.8695283145239,238.61808556584555,1025.542952035151,1697.4834361937612,2144.8958795832705,215.3952415838395,459.07858928767047,200.48020355540027,626.860286796391,624.8168076805372,676.878380511512
56.0,0.0,56.0,0.0,30.0,0.0,114.44341320137792,431.7218639593579,241.71899353711913,1041.1927199652248,1725.288574474,2170.15039384901,217.94397338961429,466.08882030369045,203.70487634784848,637.0046732943358,626.8716355565712,664.0170206597548
57.0,0.0,57.0,0.0,30.0,0.0,115.26813110636574,436.6495156448515,244.87604471537847,1057.1907049008387,1753.9988755686659,2197.0177177569176,220.55010757019463,473.27728660313034,207.02334312453488,647.5421451528317,629.4739541271889,651.586441929085
58.0,0.0,58.0,0.0,30.0,0.0,116.10030083284701,441.6539848341714,248.0904796977792,1073.5461442432793,1783.6405645808775,2225.5404953333327,223.21469275075668,480.6494958388924,210.43859267027807,658.4874253662047,632.6522452158239,639.6557054000945
59.0,0.0,59.0,0.0,30.0,0.0,116.94042437350713,446.7368223329516,251.36357091882383,1090.268581870863,1814.2410002869135,2255.76073545199,225.93882310059567,488.2111245714297,213.95372702618516,669.8558565544349,636.4361273371233,628.2955546617412
60.0,0.0,60.0,0.0,30.0,0.0,117.7889637707712,451.899624896223,254.69662428757357,1107.367880465124,1845.828754338458,2287.7199962891323,228.7236422532445,495.9680282393856,217.57196618527126,681.6634310913422,640.8564141886126,617.5782327262893
61.0,0.0,61.0,0.0,30.0,0.0,118.64634438892065,457.14403263371264,258.0909807205276,1124.854234430383,1878.4336964419608,2321.4596142019464,231.57034701563623,503.92625177404216,221.29665296813332,693.9268229031861,645.9451771605737,607.5773041541652
62.0,0.0,62.0,0.0,30.0,0.0,119.51295806119532,462.47172718114643,261.5480176102986,1142.7381833743375,1912.0870857740595,2357.020978427939,234.48019089955372,512.0920407653367,225.13125811862275,706.6634210479908,651.7358121290075,598.3674851313422
63.0,0.0,63.0,0.0,30.0,0.0,120.38916605752706,467.8844305350615,265.0691502862619,1161.0306262791296,1946.8216693721056,2394.4458526333833,237.4544875067996,520.4718531137104,229.07938565359987,719.8913651919376,658.2631108152866,590.024483935614
64.0,0.0,64.0,0.0,30.0,0.0,121.27530191095278,473.3839044594231,268.65583338692477,1179.7428362927717,1982.6717879745133,2433.776744569228,240.4946137979096,529.0723711252717,233.14477849606106,733.6295831061004,665.5633370165864,582.624853847904
65.0,0.0,65.0,0.0,30.0,0.0,122.1716740755296,478.97195040470893,272.3095622724221,1198.8864762973633,2019.6734900230058,2475.057325039296,243.60201327280333,537.9005140279186,237.33132441721654,747.8978303147782,673.6743080335476,576.2458601168659
66.0,0.0,66.0,0.0,30.0,0.0,123.07856847554207,484.6504098423616,276.03187442096225,1218.4736151839754,2057.864654511865,2518.332897680137,246.77819909049464,546.9634509033606,241.64306231035818,762.7167320356102,682.6354816460627,570.9653620755022
67.0,0.0,67.0,0.0,30.0,0.0,123.99625084272823,490.4211649930304,279.8243508332974,1238.5167449474795,2097.2851235580915,2563.65092129282,250.02475715387536,556.2686140447942,246.08418881755705,778.1078275616419,692.4880490148138,566.861710942217
68.0,0.0,68.0,0.0,30.0,0.0,124.92496899371618,496.2861398083501,283.68861745324574,1259.0287986660603,2137.9768455286317,2611.061587002463,253.3433491846074,565.8237127625003,250.65906532921304,794.0936172465,703.275033915401,564.0136632185203
69.0,0.0,69.0,0.0,30.0,0.0,125.86495490091515,502.2473012601999,287.6263467005709,1280.023169333039,2179.9840297711926,2660.6184531103063,256.73571581231437,575.6367476702288,255.37222537617347,810.697612265852,715.0413987438335,562.5003089214713
70.0,0.0,70.0,0.0,30.0,0.0,126.81642668187541,508.30666081876575,291.6392589155805,1301.5137296758744,2223.3533140167815,2712.379141263495,260.20367970155866,585.7160254941635,260.22838243441964,827.9443873414883,727.8341577671257,562.4010131570201
71.0,0.0,71.0,0.0,30.0,0.0,127.77959042558588,514.4662760978281,295.72912402041453,1323.514852989306,2268.1339457540225,2766.4060984084613,263.74914873948654,596.0701744538002,265.23243816310145,845.8596366286156,741.7024981309497,563.7953687421304
72.0,0.0,72.0,0.0,30.0,0.0,128.7546419154989,520.7282526349109,299.8977630679762,1346.0414350204062,2314.3779788807415,2822.767430284276,267.37411930655975,606.7081602705019,270.38949109788354,864.4702329824863,756.6979091781612,566.7631567045041
73.0,0.0,73.0,0.0,30.0,0.0,129.74176822754075,527.0947457901053,304.1470500396541,1369.1089170134267,2362.14048727274,2881.537813208315,271.0806796524331,617.6393028650483,275.7048458230981,883.8042908373423,772.8743206778414,571.3843105076394
74.0,0.0,74.0,0.0,30.0,0.0,130.74114923028463,533.567962758177,308.47891355476423,1392.733309962987,2411.47979687733,2942.799492689756,274.8710133988065,628.8732938103859,281.1840226479994,903.8912329489686,790.2882506147065,577.7388787362411
75.0,0.0,75.0,0.0,30.0,0.0,131.75295896010925,540.1501646022498,312.8953387645791,1416.931220145737,2462.457738419303,3006.6433788468025,278.7474031909562,640.4202146102496,286.8327678144499,924.7618612720761,808.9989632437835,585.9069796931853
76.0,0.0,76.0,0.0,30.0,0.0,132.77736690395557,546.8436684169562,317.39836926240787,1441.7198759952203,2515.139922753061,3073.1702507240684,282.7122345196631,652.2905558784953,292.6570642655962,946.4484322653985,829.0686381756296,595.9687398527818
77.0,0.0,77.0,0.0,30.0,0.0,133.81453917337515,553.6508494969806,321.99010911406015,1467.117156481776,2569.5960413801563,3142.492083748407,286.7679997353745,664.4952374980785,298.6631430074988,968.9847369410292,850.5625513236548,608.0042063196555
78.0,0.0,78.0,0.0,30.0,0.0,134.8646396242246,560.5741435649417,326.6727249685647,1493.1416209812896,2625.90019484567,3214.7335172121248,290.917302276702,677.0456298427317,304.8574950982317,992.4061860002679,873.5492686179199,622.0932212735805
