line,id,E, N,elevation,alt,txrx_dx, txrx_dy, txrx_dz, TxRoll,TxPitch,TxYaw,RxRoll,RxPitch,RxYaw,Off[0],Off[1],Off[2],Off[3],Off[4],Off[5],Off[6],Off[7],Off[8],Off[9],Off[10],Off[11],Off[12],Off[13],Off[14],Off[15],Off[16],Off[17],Off[18],Off[19],Off[20],Off[21],Off[22],Off[23],Off[24],Off[25],Off[26],Off[27],Off[28],Off[29],Off[30],Off[31],Off[32],Off[33]
100101,     217.0,  432804.3,4194958.0, 2308.9, 26.7, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 6.5173e-11, 4.0392e-11, 2.5522e-11, 1.6241e-11, 1.0320e-11, 6.3905e-12, 4.0297e-12, 2.5448e-12,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     218.0,  432829.3,4194967.0, 2308.9, 27.8, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 6.3719e-11, 3.9233e-11, 2.4747e-11, 1.5737e-11, 1.0017e-11, 6.2025e-12, 3.9697e-12, 2.5363e-12,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     219.0,  432854.9,4194976.0, 2309.0, 29.2, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 6.0700e-11, 3.7223e-11, 2.3416e-11, 1.4853e-11, 9.4304e-12, 6.0034e-12, 3.9846e-12, 2.5561e-12,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     220.0,  432882.2,4194986.0, 2309.0, 30.2, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 5.6841e-11, 3.6044e-11, 2.2674e-11, 1.3838e-11, 8.7869e-12, 5.6013e-12, 3.7442e-12, 2.4030e-12,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     221.0,  432911.7,4194996.0, 2309.2, 30.3, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 5.2965e-11, 3.3535e-11, 2.1119e-11, 1.3078e-11, 8.2535e-12, 5.2408e-12, 3.5148e-12, 2.2485e-12,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     222.0,  432943.9,4195006.0, 2309.7, 29.4, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 5.1002e-11, 3.1801e-11, 1.9988e-11, 1.2622e-11, 8.0057e-12, 5.1067e-12, 3.2961e-12, 2.1937e-12,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     223.0,  432974.9,4195015.5, 2310.0, 28.9, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 5.1011e-11, 3.1045e-11, 1.9450e-11, 1.2374e-11, 7.8805e-12, 5.0132e-12, 3.2168e-12, 2.1119e-12,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     224.0,  433006.2,4195025.0, 2310.0, 28.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 5.0546e-11, 3.0880e-11, 1.9401e-11, 1.2397e-11, 7.9199e-12, 5.0486e-12, 3.2726e-12, 2.0846e-12,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     225.0,  433036.8,4195035.5, 2309.9, 27.8, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 5.0237e-11, 3.0825e-11, 1.9170e-11, 1.2253e-11, 7.8008e-12, 4.9555e-12, 3.1961e-12, 2.0170e-12, 1.2594e-12, 7.8904e-13,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     226.0,  433066.2,4195046.5, 2309.6, 28.3, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 4.9058e-11, 2.9455e-11, 1.8603e-11, 1.1802e-11, 7.6323e-12, 4.8282e-12, 3.1037e-12, 1.9657e-12, 1.2202e-12, 7.6877e-13,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     227.0,  433094.7,4195059.0, 2309.1, 29.7, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 4.7303e-11, 2.8288e-11, 1.7922e-11, 1.1404e-11, 7.3565e-12, 4.6269e-12, 2.9155e-12, 1.8723e-12, 1.1559e-12, 7.6410e-13,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     228.0,  433122.9,4195071.0, 2309.2, 32.1, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 4.4751e-11, 2.6817e-11, 1.7012e-11, 1.0840e-11, 7.1100e-12, 4.4872e-12, 2.8508e-12, 1.8351e-12, 1.1336e-12, 7.2669e-13,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     229.0,  433151.6,4195083.0, 2309.6, 33.9, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN, 4.0906e-11, 2.5403e-11, 1.6183e-11, 1.0415e-11, 6.6153e-12, 4.2712e-12, 2.7275e-12, 1.7507e-12, 1.0779e-12, 7.2669e-13,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN
